WORKSHOP_TITLE,WORKSHOP_START_DATE,URL,LIVE_SIGNUPS,ON_DEMAND_SIGNUPS,ATTENDED_USERS,TOTAL_SIGNUPS,ENROLLED,ATTENDANCE_RATE,CONVERSION_RATE
Human-in-the-Loop Design Patterns,"Oct 27, 2025",https://maven.com/p/a83305,177,29,35,190,0,19.8%,0.0%
Build scalable Multiagent Memory Architectures,"Oct 13, 2025",https://maven.com/p/1e8491,234,26,37,249,3,15.8%,1.2%
Quantify the ROI of your Agentic Solution,"Feb 11, 2026",https://maven.com/p/fd4796,62,5,14,65,0,22.6%,0.0%
Launch a Production Agentic Application,"Feb 18, 2026",https://maven.com/p/2f7f42,90,0,4,90,0,4.4%,0.0%
Build your Agentic Work Crew (for Non-Technical jobs),"Feb 12, 2026",https://maven.com/p/2e8f6c,256,26,70,261,0,27.3%,0.0%
Advanced Prompt Engineering & Agent Personas,"Sep 29, 2025",https://maven.com/p/c5faf1,167,72,48,226,4,28.7%,1.8%
Flows vs. Crews: When Structure Beats Autonomy,"Sep 15, 2025",https://maven.com/p/26eee4,24,54,8,75,1,33.3%,1.3%
Transition From Coder to Agentic Architect,"Jan 15, 2026",https://maven.com/p/7b2689,103,44,25,138,1,24.3%,0.7%
From Coder to Architect: Coordinate a Team of AI Agents,"Dec 19, 2025",https://maven.com/p/3481f1,265,26,50,281,6,18.9%,2.1%
Build your AI Moat as Software Developer in 2026,"Nov 24, 2025",https://maven.com/p/13e5b4,220,37,49,244,1,22.3%,0.4%
Advanced Observability and Performance,"Nov 10, 2025",https://maven.com/p/d98747,217,26,29,232,3,13.4%,1.3%
Engineer Effective Context Systems,"Feb 4, 2026",https://maven.com/p/4449c0,47,2,12,48,1,25.5%,2.1%
Build Scalable Multi-agent AI Systems,"Jan 21, 2026",https://maven.com/p/0db1f5,440,43,61,461,4,13.9%,0.9%
Go from Idea to Deployed Multi-Agent App in 30 minutes,"Aug 26, 2025",https://maven.com/p/f89eb0,285,106,69,345,3,24.2%,0.9%
