WORKSHOP_TITLE,WORKSHOP_START_DATE,URL,DISTINCT_PAGEVIEWS,TOTAL_PAGEVIEWS,LIVE_SIGNUPS,ON_DEMAND_SIGNUPS,ATTENDED_USERS,TOTAL_SIGNUPS,ENROLLED,ATTENDANCE_RATE,CONVERSION_RATE
Quantify the ROI of your Agentic Solution,"Feb 11, 2026",https://maven.com/p/fd4796,72,108,62,6,14,66,0,22.6%,0.0%
Launch a Production Agentic Application,"Feb 18, 2026",https://maven.com/p/2f7f42,161,247,127,31,32,151,4,25.2%,2.6%
Build your Agentic Work Crew (for Non-Technical jobs),"Feb 12, 2026",https://maven.com/p/2e8f6c,289,414,256,33,72,263,1,28.1%,0.4%
Engineer Effective Context Systems,"Feb 4, 2026",https://maven.com/p/4449c0,56,82,47,2,12,48,2,25.5%,4.2%
Build Scalable Multi-agent AI Systems,"Jan 21, 2026",https://maven.com/p/0db1f5,446,635,440,47,61,465,6,13.9%,1.3%
Transition From Coder to Agentic Architect,"Jan 15, 2026",https://maven.com/p/7b2689,176,414,103,45,25,139,2,24.3%,1.4%
From Coder to Architect: Coordinate a Team of AI Agents,"Dec 19, 2025",https://maven.com/p/3481f1,145,222,265,29,50,283,10,18.9%,3.5%
Build your AI Moat as Software Developer in 2026,"Nov 24, 2025",https://maven.com/p/13e5b4,317,511,220,39,49,246,2,22.3%,0.8%
Advanced Observability and Performance,"Nov 10, 2025",https://maven.com/p/d98747,163,234,217,27,29,233,4,13.4%,1.7%
Go from Idea to Deployed Multi-Agent App in 30 minutes,"Aug 26, 2025",https://maven.com/p/f89eb0,372,654,285,115,69,354,5,24.2%,1.4%
Advanced Prompt Engineering & Agent Personas,"Sep 29, 2025",https://maven.com/p/c5faf1,357,580,167,94,48,248,4,28.7%,1.6%
Flows vs. Crews: When Structure Beats Autonomy,"Sep 15, 2025",https://maven.com/p/26eee4,179,329,24,54,8,75,1,33.3%,1.3%
Human-in-the-Loop Design Patterns,"Oct 27, 2025",https://maven.com/p/a83305,289,433,177,30,35,191,1,19.8%,0.5%
Build scalable Multiagent Memory Architectures,"Oct 13, 2025",https://maven.com/p/1e8491,202,351,234,26,37,249,4,15.8%,1.6%
