Module Title,Module Item Title,Unique Users,% Enrollments
Read these three articles,What is AAMAD ?,17,85%
Start here: Welcome to Maven,Three things to do to get started,16,80%
Complete Agentic Architect Fundamentals Course,Agentic Architect Fundamentals Course,15,75%
Set up your environment,Complete your development environment setup,14,70%
Complete Agentic Architect Fundamentals Course,Share your Certificate,9,45%
Welcome to the course,Welcome Video,7,35%
Read these three articles,Understanding Multiagent Systems (MAS),6,30%
Read these three articles,Why CrewAI ?,6,30%
Resources,The Four Patterns of SDLC Agentic Evolution,6,30%
Select the Use Case for your Capstone Project,Choose your Capstone Project,5,25%
Select the Use Case for your Capstone Project,USE CASE 1. Automated Employee Onboarding Workflow,5,25%
"Define (Scope, Context, PRD)",The Define stage (video),4,20%
Select the Use Case for your Capstone Project,Selecting your Capstone Project (video),4,20%
Start here: Welcome to Maven,What makes cohort-based learning different?,4,20%
"Define (Scope, Context, PRD)",Setting the foundation for your Capstone Project,3,15%
Resources,[PDF] The Agentic Architect Playbook,3,15%
Start here: Welcome to Maven,Where to get support,3,15%
"Define (Scope, Context, PRD)",Publish your MRD and PRD,2,10%
Resources,AAMAD Framework GitHub Repo,2,10%
Resources,Market Requirements Document Template,2,10%
Resources,Product Requirements Document Template,2,10%
Resources,[PDF] The Four Patterns of SDLC Agentic Evolution,2,10%
Select the Use Case for your Capstone Project,USE CASE 2. Multi-Agent Customer Support Crew,2,10%
Select the Use Case for your Capstone Project,USE CASE 3. Sales Enablement & Meeting Automation Crew,2,10%
Build (Frontend),Commit your Frontend code,1,5%
Build (Frontend),Designing User Journeys,1,5%
"Build (Observability, QA, Optimization)",Observability,1,5%
"Build (Observability, QA, Optimization)",Observability & QA,1,5%
Build (Solution Architecture),Best Practices for Agent Design,1,5%
Build (Solution Architecture),Choosing an appropriate Multiagent System strategy,1,5%
Build (Solution Architecture),Publish your SAD,1,5%
Build (Solution Architecture),The Solution Architecture (video),1,5%
Present (Final Demo),Wall of Fame Publisher,1,5%
Resources,MRD/PRD Generation System Prompt,1,5%
