Module Title,Module Item Title,Unique Users,% Enrollments
Read these three articles,What is AAMAD ?,18,90%
Complete Agentic Architect Fundamentals Course,Agentic Architect Fundamentals Course,17,85%
Start here: Welcome to Maven,Three things to do to get started,17,85%
Set up your environment,Complete your development environment setup,16,80%
Complete Agentic Architect Fundamentals Course,Share your Certificate,10,50%
Welcome to the course,Welcome Video,10,50%
Select the Use Case for your Capstone Project,Choose your Capstone Project,9,45%
Read these three articles,Understanding Multiagent Systems (MAS),8,40%
Read these three articles,Why CrewAI ?,8,40%
"Define (Scope, Context, PRD)",Publish your MRD and PRD,6,30%
"Define (Scope, Context, PRD)",The Define stage (video),6,30%
Resources,The Four Patterns of SDLC Agentic Evolution,6,30%
Select the Use Case for your Capstone Project,Selecting your Capstone Project (video),5,25%
Select the Use Case for your Capstone Project,USE CASE 1. Automated Employee Onboarding Workflow,5,25%
Select the Use Case for your Capstone Project,USE CASE 3. Sales Enablement & Meeting Automation Crew,5,25%
Start here: Welcome to Maven,What makes cohort-based learning different?,5,25%
"Define (Scope, Context, PRD)",Setting the foundation for your Capstone Project,4,20%
Resources,AAMAD Framework GitHub Repo,3,15%
Resources,Market Requirements Document Template,3,15%
Resources,[PDF] The Agentic Architect Playbook,3,15%
Start here: Welcome to Maven,Where to get support,3,15%
"Build (Observability, QA, Optimization)",Observability & QA,2,10%
Build (Solution Architecture),Choosing an appropriate Multiagent System strategy,2,10%
Build (Solution Architecture),Publish your SAD,2,10%
Resources,Product Requirements Document Template,2,10%
Resources,[PDF] The Four Patterns of SDLC Agentic Evolution,2,10%
Select the Use Case for your Capstone Project,USE CASE 2. Multi-Agent Customer Support Crew,2,10%
BONUS Resources,Mastering Flow State Management,1,5%
BONUS Resources,Planning & Reasoning with CrewAI,1,5%
Build (Frontend),Commit your Frontend code,1,5%
Build (Frontend),Designing User Journeys,1,5%
"Build (Full-stack Integration, Human-in-the-Loop, APIs)",Full-Stack Integration Patterns with CrewAI,1,5%
"Build (Full-stack Integration, Human-in-the-Loop, APIs)",Human-in-the-Loop & Feedback Mechanisms,1,5%
"Build (Full-stack Integration, Human-in-the-Loop, APIs)",Integrating External APIs & Data Sources,1,5%
"Build (Observability, QA, Optimization)",Observability,1,5%
"Build (Observability, QA, Optimization)",Performance Monitoring & Optimization,1,5%
Build (Solution Architecture),Best Practices for Agent Design,1,5%
Build (Solution Architecture),The Solution Architecture (video),1,5%
Deliver,Production Best Practices,1,5%
Deliver,Setting up your Application Hosting environment,1,5%
Deliver,Setting up your CI/CD,1,5%
Present (Final Demo),Wall of Fame Publisher,1,5%
Resources,MRD/PRD Generation System Prompt,1,5%
